
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JKGrad: Amn                       :    496.900u     31.583s     61.450w     21 calls
| JKGrad: Awmn                      :    546.267u     31.300s     64.303w     21 calls
| JKGrad: AB                        :    191.467u      6.500s     24.210w     21 calls
| JKGrad: UV                        :     43.200u      5.033s      7.239w     21 calls
| JKGrad: ABx                       :     24.050u      0.933s      2.682w     21 calls
| JKGrad: Amnx                      :   2808.717u     56.167s    253.861w     21 calls
Grad: XC                            :    954.833u      0.367s     71.795w     21 calls
| Properties                        :    337.701p                          81644 calls
| Functional                        :     21.618p                          81644 calls
| V_xc gradient                     :    210.222p                          81644 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 04:10:33 2021
Timers Off: Tue Jun 22 04:30:48 2021

Wall Time:     1215.01 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    123.500u      1.133s     10.108w     15 calls
JK: (A|mn)                          :    471.933u      0.050s     35.436w     15 calls
JK: (A|Q)^-1/2                      :    108.717u      1.433s     12.465w     15 calls
JK: (Q|mn)                          :     98.867u      0.000s     14.851w     15 calls
JK: (A|mn)^L                        :    194.733u      0.333s     14.637w     15 calls
JK: (A|Q)^-1                        :    107.467u      1.300s     12.286w     15 calls
JK: (Q|mn)^L                        :     95.017u      0.000s     14.265w     15 calls
JK: (A|mn)^R                        :    227.283u      0.183s     17.070w     15 calls
HF: Form core H                     :      1.633u      0.083s      0.137w     15 calls
HF: Form S/X                        :      3.017u      0.100s      0.237w     15 calls
HF: Guess                           :      9.883u      0.217s      0.755w     15 calls
SAD Guess                           :      9.600u      0.217s      0.735w      1 calls
HF: Form G                          :   8807.667u    113.050s    670.478w    183 calls
RV: Form V                          :   2128.050u      0.400s    159.763w    183 calls
Properties                          :    617.127p                         765040 calls
Functional                          :    194.241p                         765040 calls
V_xc                                :    716.293p                         707096 calls
JK: D                               :      0.400u      0.033s      0.048w    183 calls
JK: USO2AO                          :      0.917u      0.050s      0.065w    183 calls
JK: JK                              :   6676.533u    112.567s    510.461w    183 calls
JK: J                               :     60.650u      0.983s      5.370w    183 calls
JK: J1                              :     33.967u      0.767s      2.660w    183 calls
JK: J2                              :     25.133u      0.183s      2.604w    183 calls
JK: K                               :   2127.817u      6.300s    160.384w    183 calls
JK: K1                              :   1759.000u      0.817s    132.145w    183 calls
JK: K2                              :    368.567u      5.483s     28.209w    183 calls
JK: wK                              :   3712.033u      6.117s    279.196w    366 calls
JK: wK1                             :   3339.917u      0.883s    250.859w    732 calls
JK: wK2                             :    369.433u      5.083s     28.277w    366 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    183 calls
HF: Form F                          :      0.783u      0.033s      0.066w    183 calls
HF: Form D                          :      0.500u      0.000s      0.040w    183 calls
HF: DIIS                            :     16.733u      1.283s      1.363w    182 calls
DIISManager::add_entry              :      3.800u      0.333s      0.281w    168 calls
DIISManager::extrapolate            :      6.433u      0.833s      0.542w    168 calls
bMatrix setup                       :      2.917u      0.433s      0.254w    168 calls
bMatrix pseudoinverse               :      0.083u      0.000s      0.011w    168 calls
New vector                          :      3.433u      0.400s      0.275w    168 calls
HF: Form C                          :     36.217u      0.683s      2.775w    182 calls
Grad: V T Perturb                   :     75.517u      0.483s      5.700w     15 calls
Grad: S                             :      0.550u      0.000s      0.048w     15 calls
Grad: JK                            :   2948.467u     92.900s    295.220w     15 calls
JKGrad: Amn                         :    353.667u     22.233s     43.493w     15 calls
JKGrad: Awmn                        :    389.583u     21.867s     45.652w     15 calls
JKGrad: AB                          :    133.150u      4.117s     16.583w     15 calls
JKGrad: UV                          :     30.000u      3.300s      5.007w     15 calls
JKGrad: ABx                         :     16.617u      0.583s      1.831w     15 calls
JKGrad: Amnx                        :   1997.950u     39.567s    180.494w     15 calls
Grad: XC                            :    725.383u      0.200s     54.470w     15 calls
V_xc gradient                       :    177.711p                          57944 calls

--------------------------------------------------------------------------------------
V: Grid                             :    123.500u      1.133s     10.108w     15 calls
JK: (A|mn)                          :    471.933u      0.050s     35.436w     15 calls
JK: (A|Q)^-1/2                      :    108.717u      1.433s     12.465w     15 calls
